Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT4G01120	AT4G01120.1	bZIP (basic leucine zipper) transcription factor that binds to the G-box regulatory element found in many plant promoters.  GBF2 nuclear localization is increased by blue light	protein_coding	G-BOX BINDING FACTOR 2 (GBF2)	BASIC REGION/LEUCINE ZIPPER MOTIF 5 (ATBZIP54);G-BOX BINDING FACTOR 2 (GBF2)	
AT5G67060	AT5G67060.1	Encodes a bHLH transcription factor that is involved in transmitting tract and stigma development and acts as a local modulator of auxin and cytokinin responses to control gynoecium development. HEC1 affects auxin transport by acting as a transcriptional regulator of PIN1 and PIN3.	protein_coding	HECATE 1 (HEC1)	HECATE 1 (HEC1)	
AT5G66700	AT5G66700.1	Encodes a homeodomain protein. Member of HD-ZIP 1 family, most closely related to HB5.  AtHB53 is auxin-inducible and its induction is inhibited by cytokinin, especially in roots therefore may be involved in root development.	protein_coding	HOMEOBOX 53 (HB53)	HOMEOBOX 53 (HB53);ARABIDOPSIS THALIANA HOMEOBOX 53 (ATHB53);HOMEOBOX-8 (HB-8)	
AT2G18550	AT2G18550.1	Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.	protein_coding	HOMEOBOX PROTEIN 21 (HB21)	HOMEOBOX-2 (HB-2);HOMEOBOX PROTEIN 21 (HB21);HOMEOBOX PROTEIN 21 (ATHB21)	
AT4G36740	AT4G36740.1	Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.	protein_coding	HOMEOBOX PROTEIN 40 (HB40)	 (HB-5);HOMEOBOX PROTEIN 40 (HB40);HOMEOBOX PROTEIN 40 (ATHB40)	
AT2G22430	AT2G22430.1	Encodes a homeodomain leucine zipper class I (HD-Zip I) protein that is a target of the protein phosphatase ABI1 and regulates hormone responses in Arabidopsis.	protein_coding	HOMEOBOX PROTEIN 6 (HB6)	HOMEOBOX PROTEIN 6 (HB6);HOMEOBOX PROTEIN 6 (ATHB6)	
AT2G43060	AT2G43060.1	ILI1 binding bHLH 1;(source:Araport11)	protein_coding	ILI1 BINDING BHLH 1 (IBH1)	 (ATIBH1);ILI1 BINDING BHLH 1 (IBH1)	
AT1G22640	AT1G22640.1	MYB-type transcription factor (MYB3) that represses phenylpropanoid biosynthesis gene expression	protein_coding	MYB DOMAIN PROTEIN 3 (MYB3)	MYB DOMAIN PROTEIN 3 (MYB3);ARABIDOPSIS THALIANA  MYB DOMAIN PROTEIN 3 (ATMYB3)	
AT5G17800	AT5G17800.1	Member of the R2R3 factor gene family that acts as a cell-specific repressor of quiescent center (QC) divisions in the primary root, acting through the BR signaling pathway.   Works with BES1 to regulate QC division in the root.	protein_coding	MYB DOMAIN PROTEIN 56 (MYB56)	MYB DOMAIN PROTEIN 56 (AtMYB56);BRASSINOSTEROIDS AT VASCULAR AND ORGANIZING CENTER (BRAVO);MYB DOMAIN PROTEIN 56 (MYB56)	
AT5G39610	AT5G39610.1	Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510.	protein_coding	NAC DOMAIN CONTAINING PROTEIN  6 (NAC6)	NAC DOMAIN CONTAINING PROTEIN  2 (ATNAC2);ORESARA 1 (ORE1);NAC DOMAIN CONTAINING PROTEIN  6 (NAC6);NAC DOMAIN CONTAINING PROTEIN  6 (ATNAC6);NAC DOMAIN CONTAINING PROTEIN  2 (NAC2);ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 92 (ANAC092)	
AT5G63790	AT5G63790.1	Encodes a member of the NAC family of transcription factors. ANAC102 appears to have a role in mediating response to low oxygen stress (hypoxia) in germinating seedlings.  Its expression can be induced by beta-cyclocitral, an oxidized   by-product of beta-carotene generated in the chloroplasts, mediates a protective retrograde response that lowers the levels of toxic peroxides and carbonyls, limiting damage to intracellular components.	protein_coding	NAC DOMAIN CONTAINING PROTEIN 102 (NAC102)	NAC DOMAIN CONTAINING PROTEIN 102 (NAC102);NAC DOMAIN CONTAINING PROTEIN 102 (ANAC102)	
AT1G77450	AT1G77450.1	NAC domain containing protein 32;(source:Araport11)	protein_coding	NAC DOMAIN CONTAINING PROTEIN 32 (NAC032)	NAC DOMAIN CONTAINING PROTEIN 32 (NAC032);NAC DOMAIN CONTAINING PROTEIN 32 (anac032)	
AT1G69490	AT1G69490.1	Encodes a member of the NAC transcription factor gene family.  It is expressed in floral primordia and upregulated by AP3 and PI.  Its expression is associated with leaf senescence. The mRNA is cell-to-cell mobile.	protein_coding	NAC-LIKE, ACTIVATED BY AP3/PI (NAP)	NAC-LIKE, ACTIVATED BY AP3/PI (ATNAP);ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 29 (ANAC029);NAC-LIKE, ACTIVATED BY AP3/PI (NAP)	
AT1G52880	AT1G52880.1	Transcription factor with a NAC domain.  Homologous to the petunia gene NAM which is required for the development of the shoot. Expressed in the embryo.	protein_coding	NO APICAL MERISTEM (NAM)	NO APICAL MERISTEM (NAM);ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 18 (anac018); (ATNAM);NAC-REGULATED SEED MORPHOLOGY 2 (NARS2)	
AT5G60850	AT5G60850.1	Encodes a zinc finger protein.	protein_coding	OBF BINDING PROTEIN 4 (OBP4)	 (ATDOF5.4);OBF BINDING PROTEIN 4 (OBP4)	
AT1G09530	AT1G09530.1	Transcription factor interacting with photoreceptors phyA and phyB. Forms a ternary complex in vitro with G-box element of the promoters of LHY, CCA1. Acts as a negative regulator of phyB signalling. It degrades rapidly after irradiation of dark grown seedlings in a process controlled by phytochromes. Does not play a  significant role in controlling light input and function of the circadian  clockwork. Binds to G- and E-boxes, but not to other ACEs. Binds to anthocyanin biosynthetic genes in a light- and HY5-independent fashion. PIF3 function as a transcriptional activator can be functionally and mechanistically separated from its role in repression of PhyB mediated processes.	protein_coding	PHYTOCHROME INTERACTING FACTOR 3 (PIF3)	PURPLE ACID PHOSPHATASE 3 (PAP3);PHYTOCHROME-ASSOCIATED PROTEIN 3 (PAP3);PHOTOCURRENT 1 (POC1);PHYTOCHROME INTERACTING FACTOR 3 (PIF3)	
AT4G04890	AT4G04890.1	Encodes a homeodomain protein that is expressed in the LI layer of the vegetative, floral and inflorescence meristems. Binds to the L1 box promoter element which is required in some proteins for L1 specific expression.	protein_coding	PROTODERMAL FACTOR 2 (PDF2)	PROTODERMAL FACTOR 2 (PDF2)	
AT2G01570	AT2G01570.1	Member of the VHIID/DELLA regulatory family. Contains homopolymeric serine and threonine residues, a putative nuclear localization signal, leucine heptad repeats, and an LXXLL motif. Putative transcriptional regulator repressing the gibberellin response and integration of phytohormone signalling. DELLAs repress cell proliferation and expansion that drives plant growth. The protein undergoes degradation in response to GA via the 26S proteasome. RGA1 binds to PIF3 and  inhibits its DNA binding activity and thus affects the expression of PIF3 regulated genes. RGA may be involved in reducing ROS accumulation in response to stress by up-regulating the transcription of superoxide dismutases. Represses GA-induced vegetative growth and floral initiation. Rapidly degraded in response to GA. Involved in fruit and flower development.	protein_coding	REPRESSOR OF GA1-3 1 (RGA1)	REPRESSOR OF GA1-3 1 (RGA1);REPRESSOR OF GA (RGA24);REPRESSOR OF GA (RGA)	
AT1G27730	AT1G27730.1	Related to Cys2/His2-type zinc-finger proteins found in higher plants. Compensated for a subset of calcineurin deficiency in yeast. Salt tolerance produced by ZAT10 appeared to be partially dependent on ENA1/PMR2, a P-type ATPase required for Li+ and Na+ efflux in yeast. The protein is localized to the nucleus, acts as a transcriptional repressor and is responsive to chitin oligomers. Also involved in response to photooxidative stress.	protein_coding	SALT TOLERANCE ZINC FINGER (STZ)	 (ZAT10);SALT TOLERANCE ZINC FINGER (STZ)	
AT2G22540	AT2G22540.1	Encodes a nuclear protein that acts as a floral repressor and that functions within the thermosensory pathway.  SVP represses FT expression via direct binding to the vCArG III motif in the FT promoter.	protein_coding	SHORT VEGETATIVE PHASE (SVP)	AGAMOUS-LIKE 22 (AGL22);FLOWERING ARABIDOPSIS QTL1 (FAQ1);SHORT VEGETATIVE PHASE (SVP)	
AT4G14770	AT4G14770.1	Regulates fate transition and cell Divisions in the stomatal lineage.	protein_coding	TESMIN/TSO1-LIKE CXC 2 (TCX2)	TESMIN/TSO1-LIKE CXC 2 (TCX2); (SOL2);TESMIN/TSO1-LIKE CXC 2 (ATTCX2)	
AT1G36060	AT1G36060.1	encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 8 members in this subfamily including RAP2.4.Overexpression results in increased drought tolerance and vitrified leaves. Binds to DRE/GCC promoter elements and activates expression of aquaporin genes AtTIP1;1, AtTIP2;3, and AtPIP2;2.	protein_coding	TRANSLUCENT GREEN (TG)	 (WIND3);TRANSLUCENT GREEN (TG)	
AT1G43700	AT1G43700.1	Encodes a VirE2-interacting protein.  VIP1 mediates nuclear translocation of VirE2 via its amino half, and interacts with histone H2A via it carboxyl half. Involved in osmosensory response. The mRNA is cell-to-cell mobile.	protein_coding	VIRE2-INTERACTING PROTEIN 1 (VIP1)	VIRE2-INTERACTING PROTEIN 1 (VIP1); (ATVIP1);SULPHATE UTILIZATION EFFICIENCY 3 (SUE3)	
AT4G31800	AT4G31800.1	Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Constitutive expression of WRKY18  enhanced resistance to P. syringae, but its coexpression with WRKY40 or WRKY60 made plants more susceptible to both  P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two. The mRNA is cell-to-cell mobile.	protein_coding	WRKY DNA-BINDING PROTEIN 18 (WRKY18)	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 18 (ATWRKY18);WRKY DNA-BINDING PROTEIN 18 (WRKY18)	
AT5G04340	AT5G04340.1	Encodes a C2H2 zinc finger transcription factor that coordinately activates phytochelatin-synthesis related gene expression and directly targets GSH1 by binding to its promoter to positively regulate Cd accumulation and tolerance.	protein_coding	ZINC FINGER OF ARABIDOPSIS THALIANA 6 (ZAT6)	 (C2H2); (ATZAT6);ZINC FINGER OF ARABIDOPSIS THALIANA 6 (ZAT6);COLD INDUCED ZINC FINGER PROTEIN 2 (CZF2)	
The query for the following terms resulted in no hits: AT5G53210  

