names	x.pos	y.pos	color	S.name	S.annotation	S.mapman	S.cluster	S.direct/indirect	S.TF/Other	S.UP	S.DOWN	T.name	T.annotation	T.mapman	T.cluster	T.direct/indirect	T.TF/Other	T.UP	T.DOWN	NAC002	AtbZIP52	PIF3	MYB3	ZAT10	ERF055	VIP1	ERF014	NAC018	NAP	ANAC032	RGA	ATHB_21	ATHB_6	SVP	ABI5	IBH1	BRC1	ERF035	GBF2	PDF2	HSFB2B	TCX2	WRKY18	ABF3	ATHB_40	ZAT6	DREB2A	AtMYB56	ERF003	ORE1	HAT2	SPCH	OBP4	NAC102	ATHB_53	HEC1	indegree	outdegree	transitivity	closeness	betweenness	eccentricity
AT3G29575	-856.588012695313	455.970092773438	#FF0033									AFP3	Ninja-family protein AFP3 [Source:UniProtKB/Swiss-Prot;Acc:Q94F39]	not assigned.unknown	-- | -- | -- | -- | -- | 6B | -- | -- | --	Direct	Other	YES	NO	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	12	0	0.833333333333333	0.001074113856069	0	3
AT3G45600	1104.19864701759	-726.166198730469	#FF0033									TET3	Tetraspanin-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1E7]	development.unspecified	-- | 2C | -- | -- | -- | -- | -- | -- | --	Direct	Other	YES	NO	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	15	0	0.742857142857143	0.001074113856069	0	3
AT3G58120	1055.08539605352	-32.2218017578125	#9900FF									BZIP61	Basic leucine zipper 61 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2K4]	RNA.regulation of transcription.bZIP transcription factor family	-- | -- | 3C | -- | -- | -- | -- | -- | --	Direct	bZIP	NO	NO	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	13	0	0.641025641025641	0.001074113856069	0	3
AT4G28720	1731.97570800781	-359.738128662109	#3399FF									YUC8	Probable indole-3-pyruvate monooxygenase YUCCA8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVU0]	misc.oxidases - copper, flavone etc	-- | -- | 3B | -- | -- | -- | -- | -- | --	Indirect	Other	NO	NO	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	17	0	0.75	0.001074113856069	0	3
AT4G34000	1124.18395996094	306.759158550749	#9900FF	ABF3	ABSCISIC ACID-INSENSITIVE 5-like protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9M7Q3]	hormone metabolism.abscisic acid.signal transduction	-- | -- | -- | 4B | -- | -- | -- | -- | --	Direct	bZIP	YES	NO	ABF3	ABSCISIC ACID-INSENSITIVE 5-like protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9M7Q3]	hormone metabolism.abscisic acid.signal transduction	-- | -- | -- | 4B | -- | -- | -- | -- | --	Direct	bZIP	YES	NO	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	14	49	0.23532522474881	0.284142988084326	0.000206825357238	3
AT5G22290	-1274.77160644531	724.123146529313	#006600									NAC089	NAC domain-containing protein 89 [Source:UniProtKB/Swiss-Prot;Acc:Q94F58]	development.unspecified	-- | -- | -- | -- | -- | 6C | -- | -- | --	Indirect	NAC	YES	NO	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0.333333333333333	0.001074113856069	0	3
AT5G25190	1495.91748046875	-316.288238525391	#006600	ERF003	Ethylene-responsive transcription factor ERF003 [Source:UniProtKB/Swiss-Prot;Acc:Q94AW5]	hormone metabolism.ethylene.signal transduction	-- | -- | 3B | -- | -- | -- | -- | -- | --	Indirect	AP2-EREBP	NO	NO	ERF003	Ethylene-responsive transcription factor ERF003 [Source:UniProtKB/Swiss-Prot;Acc:Q94AW5]	hormone metabolism.ethylene.signal transduction	-- | -- | 3B | -- | -- | -- | -- | -- | --	Indirect	AP2-EREBP	NO	NO	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	14	137	0.095704035038673	0.341535071612192	0.001141789450515	3
AT5G67060	1503.14749955666	-3.15851593017578	#006600	HEC1	Transcription factor HEC1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHA7]	RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family	-- | -- | 3C | -- | -- | -- | -- | -- | --	Indirect	bHLH	NO	NO	HEC1	Transcription factor HEC1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHA7]	RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family	-- | -- | 3C | -- | -- | -- | -- | -- | --	Indirect	bHLH	NO	NO	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	10	405	0.039092623000669	0.389284219338635	0.001658415685276	3
AT1G22640	951.209053280083	-739.182556152344	#9900FF	MYB3	Transcription factor MYB3 [Source:UniProtKB/Swiss-Prot;Acc:Q9S9K9]	RNA.regulation of transcription.MYB domain transcription factor family	-- | 2C | -- | -- | -- | -- | -- | -- | --	Direct	MYB	NO	NO	MYB3	Transcription factor MYB3 [Source:UniProtKB/Swiss-Prot;Acc:Q9S9K9]	RNA.regulation of transcription.MYB domain transcription factor family	-- | 2C | -- | -- | -- | -- | -- | -- | --	Direct	MYB	NO	NO	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	16	50	0.286210317460317	0.285363608468856	0.000189315575389	3
AT1G01720	-1059.19606866417	354.655517578125	#9900FF	NAC002	NAC domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q39013]	development.unspecified	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	NAC	YES	NO	NAC002	NAC domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q39013]	development.unspecified	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	NAC	YES	NO	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	12	320	0.041260558804419	0.37037037037037	0.002506678021037	3
AT1G05100	-1213.81494140625	571.337913040999	#FF0033									MAPKKK18	mitogen-activated protein kinase kinase kinase 18 [Source:TAIR;Acc:AT1G05100]	signalling.MAP kinases	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	YES	NO	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	23	0	0.624505928853755	0.001074113856069	0	3
AT1G23040	-116.906173706055	652.766825153728	#FF0033									AT1G23040	hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT1G23040]	not assigned.no ontology.hydroxyproline rich proteins	-- | -- | -- | -- | 5C | -- | -- | -- | --	Direct	Other	NO	NO	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	14	0	0.725274725274725	0.001074113856069	0	3
AT1G23050	444.694946289063	-1458.52380371094	#FF0033									AT1G23050	hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT1G23050]	not assigned.no ontology.hydroxyproline rich proteins	1B | -- | -- | -- | -- | -- | -- | -- | --	Direct	Other	NO	NO	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	11	0	0.854545454545454	0.001074113856069	0	3
AT1G23870	893.55522894648	-1434.96362304688	#FF0033									TPS9	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRA7]	minor CHO metabolism.trehalose.potential TPS/TPP	1C | -- | -- | -- | -- | -- | -- | -- | --	Direct	Other	NO	NO	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	10	0	0.866666666666667	0.001074113856069	0	3
AT1G60190	-1053.81494140625	451.337790970687	#FF0033									PUB19	U-box domain-containing protein 19 [Source:UniProtKB/Swiss-Prot;Acc:O80742]	protein.degradation.ubiquitin.E3.RING	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	YES	NO	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	14	0	0.736263736263736	0.001074113856069	0	3
AT1G61890	-1037.47985839844	891.60807084572	#3399FF									AT1G61890	MATE efflux family protein [Source:TAIR;Acc:AT1G61890]	transport.misc	-- | -- | -- | -- | -- | 6C | -- | -- | --	Indirect	Other	YES	NO	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	19	0	0.678362573099415	0.001074113856069	0	3
AT1G64660	1503.36389160156	-1056.68481445313	#3399FF									MGL	Methionine gamma-lyase [Source:UniProtKB/Swiss-Prot;Acc:Q9SGU9]	amino acid metabolism.degradation.aspartate family.methionine.methionine gamma-lyase	-- | 2B | -- | -- | -- | -- | -- | -- | --	Indirect	Other	NO	NO	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	16	0	0.708333333333333	0.001074113856069	0	3
AT1G68620	-597.067687988281	895.140991210937	#3399FF									CXE6	Probable carboxylesterase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9SX25]	lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase	-- | -- | -- | -- | -- | 6B | -- | -- | --	Indirect	Other	YES	NO	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	16	0	0.725	0.001074113856069	0	3
AT1G71720	-1646.57482910156	147.397674560547	#3399FF									AT1G71720	Nucleic acid-binding proteins superfamily [Source:TAIR;Acc:AT1G71720]	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.30S subunit.S1	-- | -- | -- | -- | -- | -- | 7B | -- | --	Indirect	Other	NO	NO	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	13	0	0.615384615384615	0.001074113856069	0	3
AT1G73480	524.694946289063	-1338.52380371094	#FF0033									AT1G73480	alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT1G73480]	not assigned.no ontology	1B | -- | -- | -- | -- | -- | -- | -- | --	Direct	Other	YES	NO	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	15	0	0.685714285714286	0.001074113856069	0	3
AT1G74000	-846.555725097656	-1851.16027832031	#3399FF									SSL11	Protein STRICTOSIDINE SYNTHASE-LIKE 11 [Source:UniProtKB/Swiss-Prot;Acc:P92976]	secondary metabolism.N misc.alkaloid-like	-- | -- | -- | -- | -- | -- | -- | -- | 9B	Indirect	Other	NO	NO	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0.933333333333333	0.001074113856069	0	4
AT1G77450	-893.498168945312	324.414001464844	#9900FF	ANAC032	NAC domain containing protein 32 [Source:TAIR;Acc:AT1G77450]	development.unspecified	-- | -- | -- | -- | -- | 6B | -- | -- | --	Direct	NAC	YES	NO	ANAC032	NAC domain containing protein 32 [Source:TAIR;Acc:AT1G77450]	development.unspecified	-- | -- | -- | -- | -- | 6B | -- | -- | --	Direct	NAC	YES	NO	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	17	200	0.075964793500339	0.343426883308715	0.002858125260968	3
AT1G80110	-1213.81494140625	411.337668900374	#FF0033									PP2B11	F-box protein PP2-B11 [Source:UniProtKB/Swiss-Prot;Acc:Q949S5]	protein.degradation.ubiquitin.E3.SCF.FBOX	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	YES	NO	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	11	0	0.563636363636364	0.001074113856069	0	3
AT2G22930	-273.943430378338	-1731.650390625	#3399FF									UGT79B8	UDP-glycosyltransferase 79B8 [Source:UniProtKB/Swiss-Prot;Acc:O81010]	secondary metabolism.flavonoids.dihydroflavonols	-- | -- | -- | -- | -- | -- | -- | -- | 9C	Indirect	Other	YES	NO	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	9	0	0.75	0.001074113856069	0	3
AT2G25900	813.555167911323	-1354.96362304688	#FF0033									ATCTH	Zinc finger CCCH domain-containing protein 23 [Source:UniProtKB/Swiss-Prot;Acc:O82307]	RNA.regulation of transcription.C3H zinc finger family	1C | -- | -- | -- | -- | -- | -- | -- | --	Direct	Other	NO	NO	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	19	0	0.678362573099415	0.001074113856069	0	3
AT2G27830	653.555167911324	-1314.96362304688	#FF0033									AT2G27830	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G22758.1); Has 131 Blast hits to 131 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 131; Viruses - 0; Other Eukaryotes - 0 (sou /.../CBI BLink). [Source:TAIR;Acc:AT2G27830]	not assigned.unknown	1C | -- | -- | -- | -- | -- | -- | -- | --	Direct	Other	NO	YES	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	16	0	0.716666666666667	0.001074113856069	0	3
AT2G29090	1166.54772949219	434.292544781218	#FF0033									CYP707A2	Abscisic acid 8'-hydroxylase 2 [Source:UniProtKB/Swiss-Prot;Acc:O81077]	misc.cytochrome P450	-- | -- | -- | 4B | -- | -- | -- | -- | --	Direct	Other	YES	NO	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	18	0	0.581699346405229	0.001074113856069	0	3
AT2G30140	-1213.81494140625	531.337913040999	#FF0033									UGT87A2	UDP-glycosyltransferase 87A2 [Source:UniProtKB/Swiss-Prot;Acc:O64733]	misc.UDP glucosyl and glucoronyl transferases	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	NO	NO	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	16	0	0.708333333333333	0.001074113856069	0	3
AT2G36080	865.203063964844	-1245.76062011719	#9900FF									ABS2/NGAL1	B3 domain-containing protein At2g36080 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYJ2]	RNA.regulation of transcription.ABI3/VP1-related B3-domain-containing transcription factor family	1C | -- | -- | -- | -- | -- | -- | -- | --	Direct	RAV	NO	NO	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	21	0	0.704761904761905	0.001074113856069	0	3
AT2G38760	-593.94388814201	-2051.65258789062	#3399FF									ANN3	Annexin D3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SE45]	cell.organisation	-- | -- | -- | -- | -- | -- | -- | -- | 9C	Indirect	Other	NO	NO	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	11	0	0.672727272727273	0.001074113856069	0	3
AT2G41870	763.896646931072	749.579772949219	#3399FF									AT2G41870	Remorin family protein [Source:TAIR;Acc:AT2G41870]	RNA.regulation of transcription.putative transcription regulator	-- | -- | -- | 4C | -- | -- | -- | -- | --	Indirect	Other	NO	YES	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	10	0	0.755555555555556	0.001074113856069	0	3
AT3G10985	62.8554077148438	591.821411132813	#FF0033									SAG20	senescence associated gene 20 [Source:TAIR;Acc:AT3G10985]	stress.abiotic.touch/wounding	-- | -- | -- | -- | 5B | -- | -- | -- | --	Direct	Other	YES	NO	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	16	0	0.75	0.001074113856069	0	3
AT3G11690	1101.17456054688	-973.6416015625	#FF0033									AT3G11690	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown p /.../ (TAIR:AT5G06380.1); Has 84 Blast hits to 84 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 84; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G11690]	not assigned.unknown	-- | 2B | -- | -- | -- | -- | -- | -- | --	Direct	Other	YES	NO	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1	15	0	0.752380952380952	0.001074113856069	0	3
AT3G18560	-108.05281829834	1065.99051900138	#3399FF									AT3G18560	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G49000.1); Has 95 Blast hits to 95 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 95; Viruses - 0; Other Eukaryotes - 0 (source /.../ BLink). [Source:TAIR;Acc:AT3G18560]	not assigned.unknown	-- | -- | -- | -- | 5C | -- | -- | -- | --	Indirect	Other	NO	YES	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	12	0	0.681818181818182	0.001074113856069	0	3
AT3G19590	-1314.12369771232	-1222.67236328125	#FF0033									BUB3.1	Mitotic checkpoint protein BUB3.1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LJN8]	cell.division	-- | -- | -- | -- | -- | -- | -- | 8C | --	Direct	Other	NO	NO	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	15	0	0.609523809523809	0.001074113856069	0	3
AT3G52920	-1742.94384765625	-857.277160644531	#3399FF									AT3G52920	Family of unknown function (DUF662) [Source:TAIR;Acc:AT3G52920]	not assigned.no ontology	-- | -- | -- | -- | -- | -- | -- | 8B | --	Indirect	Other	NO	NO	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	14	0	0.714285714285714	0.001074113856069	0	3
AT4G02280	-1133.81481933594	531.337913040999	#FF0033									SUS3	Sucrose synthase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M111]	major CHO metabolism.degradation.sucrose.Susy	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	YES	NO	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	19	0	0.573099415204678	0.001074113856069	0	3
AT4G05020	-1293.81530761719	491.337668900374	#FF0033									NDB2	External alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q94BV7]	mitochondrial electron transport / ATP synthesis.NADH-DH.type II.external	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	NO	NO	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0.745454545454545	0.001074113856069	0	3
AT4G05150	1593.41373490822	-710.903442382813	#3399FF									AT4G05150	Octicosapeptide/Phox/Bem1p family protein [Source:TAIR;Acc:AT4G05150]	not assigned.no ontology	-- | 2C | -- | -- | -- | -- | -- | -- | --	Indirect	Other	NO	YES	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	9	0	0.861111111111111	0.001074113856069	0	3
